Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Secteur_Activite,Pays,Place_Boursiere,Capitalisation_Boursiere
"Mettler-Toledo International, I",MTD,MTD,Healthcare,United States,NYQ,21313257472.0
Edison International,EIX,EIX,Utilities,United States,NYQ,21080064000.0
Dover Corporation,DOV,DOV,Industrials,United States,NYQ,21045870592.0
STERIS plc (Ireland),STE,STE,Healthcare,United States,NYQ,20889102336.0
"Tyson Foods, Inc.",TSN,TSN,Consumer Defensive,United States,NYQ,21303963648.0
Global Payments Inc.,GPN,GPN,Industrials,United States,NYQ,20869953536.0
Cincinnati Financial Corporatio,CINF,CINF,Financial Services,United States,NMS,20618043392.0
"McCormick & Company, Incorporat",MKC,MKC,Consumer Defensive,United States,NYQ,20510853120.0
Teledyne Technologies Incorpora,TDY,TDY,Technology,United States,NYQ,20447934464.0
"PulteGroup, Inc.",PHM,PHM,Consumer Cyclical,United States,NYQ,20408463360.0
"Corpay, Inc.",CPAY,CPAY,Technology,United States,NYQ,20272015360.0
Invitation Homes Inc.,INVH,INVH,Real Estate,United States,NYQ,19943213056.0
Dow Inc.,DOW,DOW,Basic Materials,United States,NYQ,19902543872.0
Waters Corporation,WAT,WAT,Healthcare,United States,NYQ,19303790592.0
Coterra Energy Inc.,CTRA,CTRA,Energy,United States,NYQ,19194091520.0
Weyerhaeuser Company,WY,WY,Real Estate,United States,NYQ,19060795392.0
Devon Energy Corporation,DVN,DVN,Energy,United States,NYQ,19009116160.0
Molina Healthcare Inc,MOH,MOH,Healthcare,United States,NYQ,18965002240.0
"Lennox International, Inc.",LII,LII,Industrials,United States,NYQ,18903494656.0
"United Airlines Holdings, Inc.",UAL,UAL,Industrials,United States,NMS,18877698048.0
Labcorp Holdings Inc.,LH,LH,Healthcare,United States,NYQ,18832500736.0
LyondellBasell Industries NV,LYB,LYB,Basic Materials,United States,NYQ,18753400832.0
International Flavors & Fragran,IFF,IFF,Basic Materials,United States,NYQ,18699343872.0
Erie Indemnity Company,ERIE,ERIE,Financial Services,United States,NMS,20736606208.0
Huntington Bancshares Incorpora,HBAN,HBAN,Financial Services,United States,NMS,18405449728.0
"T. Rowe Price Group, Inc.",TROW,TROW,Financial Services,United States,NMS,18357188608.0
"Expedia Group, Inc.",EXPE,EXPE,Consumer Cyclical,United States,NMS,18279653376.0
Quest Diagnostics Incorporated,DGX,DGX,Healthcare,United States,NYQ,18220367872.0
Mid-America Apartment Communiti,MAA,MAA,Real Estate,United States,NYQ,18365925376.0
Clorox Company (The),CLX,CLX,Consumer Defensive,United States,NYQ,17722114048.0
"Super Micro Computer, Inc.",SMCI,SMCI,Technology,United States,NMS,17697603584.0
NiSource Inc,NI,NI,Utilities,United States,NYQ,17515919360.0
"Williams-Sonoma, Inc.",WSM,WSM,Consumer Cyclical,United States,NYQ,17498755072.0
Loews Corporation,L,L,Financial Services,United States,NYQ,17483628544.0
"Essex Property Trust, Inc.",ESS,ESS,Real Estate,United States,NYQ,18698358784.0
Insulet Corporation,PODD,PODD,Healthcare,United States,NMS,17223651328.0
Halliburton Company,HAL,HAL,Energy,United States,NYQ,17222379520.0
"Leidos Holdings, Inc.",LDOS,LDOS,Technology,United States,NYQ,17070411776.0
Synchrony Financial,SYF,SYF,Financial Services,United States,NYQ,17031138304.0
"NRG Energy, Inc.",NRG,NRG,Utilities,United States,NYQ,17028598784.0
Hubbell Inc,HUBB,HUBB,Industrials,United States,NYQ,16925979648.0
Hormel Foods Corporation,HRL,HRL,Consumer Defensive,United States,NYQ,16904326144.0
Regions Financial Corporation,RF,RF,Financial Services,United States,NYQ,16895977472.0
PTC Inc.,PTC,PTC,Technology,United States,NMS,16817685504.0
Hewlett Packard Enterprise Comp,HPE,HPE,Technology,United States,NYQ,16800688128.0
Northern Trust Corporation,NTRS,NTRS,Financial Services,United States,NMS,16769542144.0
Snap-On Incorporated,SNA,SNA,Industrials,United States,NYQ,16511082496.0
Packaging Corporation of Americ,PKG,PKG,Consumer Cyclical,United States,NYQ,16494611456.0
Principal Financial Group Inc,PFG,PFG,Financial Services,United States,NMS,16453149696.0
"Steel Dynamics, Inc.",STLD,STLD,Basic Materials,United States,NMS,16370250752.0
"Ulta Beauty, Inc.",ULTA,ULTA,Consumer Cyclical,United States,NMS,16282421248.0
Genuine Parts Company,GPC,GPC,Consumer Cyclical,United States,NYQ,16211125248.0
"Everest Group, Ltd.",EG,EG,Financial Services,Bermuda,NYQ,14469649408.0
Deckers Outdoor Corporation,DECK,DECK,Consumer Cyclical,United States,NYQ,16091078656.0
FactSet Research Systems Inc.,FDS,FDS,Financial Services,United States,NYQ,15827705856.0
Alliant Energy Corporation,LNT,LNT,Utilities,United States,NMS,15761726464.0
"NetApp, Inc.",NTAP,NTAP,Technology,United States,NMS,15705288704.0
Camden Property Trust,CPT,CPT,Real Estate,United States,NYQ,12014673920.0
Southwest Airlines Company,LUV,LUV,Industrials,United States,NYQ,15332140032.0
Domino's Pizza Inc,DPZ,DPZ,Consumer Cyclical,United States,NMS,15235069952.0
"Evergy, Inc.",EVRG,EVRG,Utilities,United States,NMS,15222259712.0
Brown Forman Inc,BF-B,BF-B,Consumer Defensive,United States,NYQ,15089201152.0
Expeditors International of Was,EXPD,EXPD,Industrials,United States,NYQ,15012757504.0
"Citizens Financial Group, Inc.",CFG,CFG,Financial Services,United States,NYQ,14980583424.0
Baxter International Inc.,BAX,BAX,Healthcare,United States,NYQ,14767082496.0
KeyCorp,KEY,KEY,Financial Services,United States,NYQ,14759348224.0
"The Cooper Companies, Inc.",COO,COO,Healthcare,United States,NMS,14750826496.0
"West Pharmaceutical Services, I",WST,WST,Healthcare,United States,NYQ,14690600960.0
Gen Digital Inc.,GEN,GEN,Technology,United States,NMS,14655637504.0
News Corporation,NWS,NWS,Communication Services,United States,NMS,14515105792.0
News Corporation,NWSA,NWSA,Communication Services,United States,NMS,14515104768.0
"Dollar Tree, Inc.",DLTR,DLTR,Consumer Defensive,United States,NMS,14528858112.0
Omnicom Group Inc.,OMC,OMC,Communication Services,United States,NYQ,14269451264.0
Seagate Technology Holdings PLC,STX,STX,Technology,Singapore,NMS,14127209472.0
"Builders FirstSource, Inc.",BLDR,BLDR,Industrials,United States,NYQ,14084459520.0
Alexandria Real Estate Equities,ARE,ARE,Real Estate,United States,NYQ,14060545024.0
Trimble Inc.,TRMB,TRMB,Technology,United States,NMS,13889705984.0
"F5, Inc.",FFIV,FFIV,Technology,United States,NMS,13793312768.0
"First Solar, Inc.",FSLR,FSLR,Technology,United States,NMS,13777809408.0
Ball Corporation,BALL,BALL,Consumer Cyclical,United States,NYQ,13723619328.0
Jacobs Solutions Inc.,J,J,Industrials,United States,NYQ,13657528320.0
"Hologic, Inc.",HOLX,HOLX,Healthcare,United States,NMS,13737502720.0
"J.B. Hunt Transport Services, I",JBHT,JBHT,Industrials,United States,NMS,13467077632.0
Avery Dennison Corporation,AVY,AVY,Consumer Cyclical,United States,NYQ,13443961856.0
"UDR, Inc.",UDR,UDR,Real Estate,United States,NYQ,15241106432.0
Amcor plc,AMCR,AMCR,Consumer Cyclical,Switzerland,NYQ,13326035968.0
Masco Corporation,MAS,MAS,Industrials,United States,NYQ,13337970688.0
"Healthpeak Properties, Inc.",DOC,DOC,Real Estate,United States,NYQ,12875123712.0
Kimco Realty Corporation (HC),KIM,KIM,Real Estate,United States,NYQ,13127920640.0
"Tapestry, Inc.",TPR,TPR,Consumer Cyclical,United States,NYQ,13029524480.0
Pentair plc.,PNR,PNR,Industrials,United Kingdom,NYQ,12993037312.0
Jabil Inc.,JBL,JBL,Technology,United States,NYQ,12802450432.0
"Best Buy Co., Inc.",BBY,BBY,Consumer Cyclical,United States,NYQ,12775202816.0
"ConAgra Brands, Inc.",CAG,CAG,Consumer Defensive,United States,NYQ,12736017408.0
"Jack Henry & Associates, Inc.",JKHY,JKHY,Technology,United States,NMS,12583600128.0
Regency Centers Corporation,REG,REG,Real Estate,United States,NMS,12558983168.0
Molson Coors Beverage Company,TAP,TAP,Consumer Defensive,United States,NYQ,12392658944.0
IDEX Corporation,IEX,IEX,Industrials,United States,NYQ,12275160064.0
The J.M. Smucker Company,SJM,SJM,Consumer Defensive,United States,NYQ,12254982144.0
Ralph Lauren Corporation,RL,RL,Consumer Cyclical,United States,NYQ,12205841408.0
"CF Industries Holdings, Inc.",CF,CF,Basic Materials,United States,NYQ,12163743744.0
Aptiv PLC,APTV,APTV,Consumer Cyclical,Switzerland,NYQ,12160637952.0
DaVita Inc.,DVA,DVA,Healthcare,United States,NYQ,11959200768.0
Pool Corporation,POOL,POOL,Industrials,United States,NMS,11883118592.0
Incyte Corporation,INCY,INCY,Healthcare,United States,NMS,11723683840.0
CarMax Inc,KMX,KMX,Consumer Cyclical,United States,NYQ,11645735936.0
The Campbell's Company,CPB,CPB,Consumer Defensive,United States,NMS,11566480384.0
Solventum Corporation,SOLV,SOLV,Healthcare,United States,NYQ,11452798976.0
Zebra Technologies Corporation,ZBRA,ZBRA,Technology,United States,NMS,11430016000.0
"Revvity, Inc.",RVTY,RVTY,Healthcare,United States,NYQ,11394741248.0
"Universal Health Services, Inc.",UHS,UHS,Healthcare,United States,NYQ,11379826688.0
"Paycom Software, Inc.",PAYC,PAYC,Technology,United States,NYQ,11207855104.0
"Juniper Networks, Inc.",JNPR,JNPR,Technology,United States,NYQ,11311801344.0
"Align Technology, Inc.",ALGN,ALGN,Healthcare,United States,NMS,11297967104.0
"Teradyne, Inc.",TER,TER,Technology,United States,NMS,11052443648.0
Textron Inc.,TXT,TXT,Industrials,United States,NYQ,11028026368.0
Pinnacle West Capital Corporati,PNW,PNW,Utilities,United States,NYQ,10848727040.0
"Akamai Technologies, Inc.",AKAM,AKAM,Technology,United States,NMS,10767215616.0
"C.H. Robinson Worldwide, Inc.",CHRW,CHRW,Industrials,United States,NMS,10751563776.0
LKQ Corporation,LKQ,LKQ,Consumer Cyclical,United States,NMS,10675653632.0
Allegion plc,ALLE,ALLE,Industrials,Ireland,NYQ,10668945408.0
Western Digital Corporation,WDC,WDC,Technology,United States,NMS,10622544896.0
Nordson Corporation,NDSN,NDSN,Industrials,United States,NMS,10058004480.0
Bunge Limited,BG,BG,Consumer Defensive,United States,NYQ,9806456832.0
Globe Life Inc.,GL,GL,Financial Services,United States,NYQ,9757721600.0
"Stanley Black & Decker, Inc.",SWK,SWK,Industrials,United States,NYQ,9717349376.0
"Moderna, Inc.",MRNA,MRNA,Healthcare,United States,NMS,9708103680.0
"BXP, Inc.",BXP,BXP,Real Estate,United States,NYQ,10662377472.0
"Assurant, Inc.",AIZ,AIZ,Financial Services,United States,NYQ,9498593280.0
"Walgreens Boots Alliance, Inc.",WBA,WBA,Healthcare,United States,NMS,9235369984.0
"Franklin Resources, Inc.",BEN,BEN,Financial Services,United States,NYQ,9199719424.0
"Host Hotels & Resorts, Inc.",HST,HST,Real Estate,United States,NMS,9304027136.0
Viatris Inc.,VTRS,VTRS,Healthcare,United States,NMS,9095917568.0
A.O. Smith Corporation,AOS,AOS,Industrials,United States,NYQ,8897362944.0
"Interpublic Group of Companies,",IPG,IPG,Communication Services,United States,NYQ,8831781888.0
Eastman Chemical Company,EMN,EMN,Basic Materials,United States,NYQ,8720693248.0
"Lamb Weston Holdings, Inc.",LW,LW,Consumer Defensive,United States,NYQ,8325843968.0
"EPAM Systems, Inc.",EPAM,EPAM,Technology,United States,NYQ,8230001152.0
Bio-Techne Corp,TECH,TECH,Healthcare,United States,NMS,8176311808.0
"Dayforce, Inc.",DAY,DAY,Technology,United States,NYQ,8148910592.0
"Henry Schein, Inc.",HSIC,HSIC,Healthcare,United States,NMS,8129868288.0
"Skyworks Solutions, Inc.",SWKS,SWKS,Technology,United States,NMS,8105688576.0
"MarketAxess Holdings, Inc.",MKTX,MKTX,Financial Services,United States,NMS,8026390016.0
Paramount Global,PARA,PARA,Communication Services,United States,NMS,7890817536.0
Federal Realty Investment Trust,FRT,FRT,Real Estate,United States,NYQ,7696342016.0
The AES Corporation,AES,AES,Utilities,United States,NYQ,7674292736.0
MGM Resorts International,MGM,MGM,Consumer Cyclical,United States,NYQ,7669900288.0
"Enphase Energy, Inc.",ENPH,ENPH,Technology,United States,NGM,7586614272.0
"Hasbro, Inc.",HAS,HAS,Consumer Cyclical,United States,NMS,7561198592.0
"Wynn Resorts, Limited",WYNN,WYNN,Consumer Cyclical,United States,NMS,7441244672.0
Mosaic Company (The),MOS,MOS,Basic Materials,United States,NYQ,7432220160.0
"Huntington Ingalls Industries, ",HII,HII,Industrials,United States,NYQ,7256624128.0
"Match Group, Inc.",MTCH,MTCH,Communication Services,United States,NMS,7197329408.0
Norwegian Cruise Line Holdings ,NCLH,NCLH,Consumer Cyclical,United States,NYQ,6902736896.0
Albemarle Corporation,ALB,ALB,Basic Materials,United States,NYQ,6883759616.0
Charles River Laboratories Inte,CRL,CRL,Healthcare,United States,NYQ,6723938816.0
Generac Holdlings Inc.,GNRC,GNRC,Industrials,United States,NYQ,6668422144.0
"Mohawk Industries, Inc.",MHK,MHK,Consumer Cyclical,United States,NYQ,6612337664.0
Invesco Ltd,IVZ,IVZ,Financial Services,United States,NYQ,5736779264.0
APA Corporation,APA,APA,Energy,United States,NMS,5526491648.0
"Caesars Entertainment, Inc.",CZR,CZR,Consumer Cyclical,United States,NMS,4914461184.0
